year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type,car_state
2014,Ford,Mustang,79000.0,Coupe,Manual,RWD,blue,black,5,2,gasoline,19000.0,10.8,8.7,2.4,4.0,Inline,2
2021,Audi,Q7,89389.0,SUV,Automatic,4X4,white,black,7,4,hybrid,47098.2,13.8,11.4,2.4,6.0,V-Engine,1
2020,Mercedes-Benz,S560,31541.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,110995.0,13.5,8.6,2.4,8.0,Inline,1
2023,Volvo,XC60,182.0,SUV,Automatic,4X4,black,gray,5,4,gasoline,77419.0,10.8,8.7,2.0,4.0,Inline,1
2021,Porsche,Taycan,10800.0,Sedan,Automatic,4X4,other,black,5,4,electric,189995.0,0.0,8.7,0.0,0.0,Electric,1
2016,Ford,Escape,153030.0,SUV,Automatic,4X4,white,black,5,4,gasoline,10960.95,11.4,8.4,2.0,4.0,Inline,2
2015,Nissan,Micra,164298.0,Hatchback,Automatic,FWD,other,black,5,4,gasoline,8388.0,8.7,6.6,1.6,4.0,Inline,2
2023,Ford,Edge,250.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,48493.0,11.5,8.4,2.0,4.0,Inline,1
2008,MINI,COOPER,127131.0,Hatchback,Automatic,FWD,black,black,5,4,gasoline,5995.0,7.7,5.7,2.4,4.0,Inline,2
2017,Honda,Pilot,119689.0,SUV,Automatic,4X4,white,black,5,4,gasoline,31990.0,12.4,9.3,3.5,6.0,V-Engine,2
2023,Mitsubishi,Outlander,6658.0,SUV,Automatic,4X4,silver,black,5,4,hybrid,56575.0,9.2,8.7,2.4,4.0,Inline,1
2018,BMW,X5,46347.0,SUV,Automatic,4X4,black,black,5,4,gasoline,49995.0,13.0,9.8,3.0,6.0,Inline,1
2013,Audi,S7,153000.0,Sedan,Automatic,4X4,gray,black,4,4,gasoline,28895.0,10.8,8.7,2.4,8.0,Inline,1
2020,Acura,TLX,52337.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,39799.0,12.0,8.2,2.4,6.0,V-Engine,1
2017,Ford,Escape,91872.0,SUV,Automatic,4X4,black,black,5,4,gasoline,18800.0,10.8,8.7,2.4,4.0,Inline,1
2008,BMW,5,99912.0,Sedan,Automatic,RWD,white,red,5,4,gasoline,48999.0,19.9,11.9,2.4,10.0,Inline,2
2019,Rolls-Royce,Wraith,9800.0,Coupe,Automatic,RWD,black,black,4,2,gasoline,478888.0,19.6,13.1,2.4,12.0,Inline,1
2023,Jeep,Wrangler,12.0,SUV,Automatic,4X4,white,black,5,4,gasoline,59980.0,10.8,8.7,3.6,6.0,V-Engine,1
2023,BMW,X3,90.0,SUV,Automatic,4X4,white,black,5,2,gasoline,68776.0,11.0,8.4,2.0,4.0,Inline,1
2022,Jeep,Cherokee,7140.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,44999.0,12.9,9.7,3.2,6.0,V-Engine,1
2018,Mercedes-Benz,CLA,79000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,29950.0,10.8,8.7,2.4,4.0,Inline,1
2019,Hyundai,Elantra,63495.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,27289.0,9.8,7.4,1.6,3.0,V-Engine,1
2016,Volkswagen,Jetta,108155.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,18499.0,9.4,6.5,2.4,4.0,Inline,1
2013,Honda,Civic,270000.0,Coupe,Manual,FWD,white,black,5,2,gasoline,500.0,10.8,8.7,2.4,4.0,Inline,3
2019,Ford,Edge,70645.0,SUV,Automatic,4X4,black,black,5,4,gasoline,35588.0,12.6,9.2,2.4,6.0,V-Engine,1
2019,Ferrari,488,7202.0,Coupe,Automatic,RWD,red,black,2,2,gasoline,389900.0,10.8,8.7,2.4,4.0,Inline,1
2023,Mazda,CX-9,100.0,SUV,Automatic,4X4,red,black,5,4,gasoline,54200.0,11.6,9.1,2.5,4.0,Inline,1
2023,Ford,F-150,250.0,Truck,Automatic,4X4,gray,black,5,4,gasoline,76979.0,13.5,10.2,3.5,6.0,V-Engine,1
2019,Mercedes-Benz,E-Class,65857.0,Coupe,Automatic,4X4,black,black,5,2,gasoline,68800.0,10.8,8.7,2.4,6.0,Inline,2
2023,Infiniti,Q50,90.0,Sedan,Automatic,4X4,blue,gray,5,4,gasoline,54072.0,12.5,8.7,2.4,6.0,V-Engine,1
2018,Mercedes-Benz,GLE,70428.0,SUV,Automatic,4X4,black,black,5,4,gasoline,41450.0,13.5,10.3,3.0,6.0,V-Engine,1
2023,GMC,Terrain,10.0,SUV,Automatic,4X4,metallic,black,5,4,gasoline,44433.0,9.9,8.3,1.5,4.0,Other,1
2017,McLaren,570GT,38665.0,Coupe,Automatic,RWD,black,black,2,2,gasoline,185555.0,14.7,10.2,3.8,8.0,V-Engine,1
2023,Ford,F-150,90.0,Truck,Automatic,4X4,black,black,5,4,hybrid,96299.0,10.8,8.7,2.4,6.0,V-Engine,1
2020,Volkswagen,Jetta,51200.0,Sedan,Manual,FWD,silver,black,5,4,gasoline,27450.0,7.9,5.9,1.4,4.0,Other,1
2018,BMW,3,72000.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,29070.0,10.2,7.1,2.4,4.0,Inline,1
2023,Jeep,Wrangler,250.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,62489.0,11.5,10.05,2.0,4.0,V-Engine,1
2017,Dodge,RAM,308000.0,Truck,Automatic,4X4,black,black,5,4,gasoline,1612.5,10.8,8.7,2.4,4.0,Inline,4
2023,Ford,Bronco,10.0,SUV,Automatic,4X4,other,black,5,4,gasoline,44544.0,9.3,8.4,2.4,3.0,Inline,1
2023,Jeep,Wrangler,13.0,SUV,Automatic,4X4,white,black,5,4,gasoline,63870.0,11.5,10.0,2.0,4.0,Inline,1
2016,BMW,X3,158000.0,SUV,Automatic,4X4,gray,black,5,4,diesel,12899.325,8.6,6.9,2.4,4.0,Inline,2
2010,Hyundai,Santa,170960.0,SUV,Automatic,4X4,silver,gray,5,4,gasoline,8345.75,10.5,7.7,2.4,6.0,V-Engine,3
2019,Dodge,Ram,142230.0,Truck,Automatic,4X4,black,black,5,4,gasoline,31809.311500000003,10.8,8.7,2.4,4.0,Inline,3
2022,Dodge,Durango,126.0,SUV,Automatic,4X4,black,black,5,4,gasoline,58988.0,16.7,10.9,5.7,8.0,V-Engine,1
2017,Chrysler,Pacifica,92363.0,Van,Automatic,FWD,white,black,7,4,gasoline,24999.2,12.4,8.4,2.4,6.0,Inline,1
2023,Volkswagen,Atlas,1500.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,56200.0,13.1,10.0,2.4,6.0,V-Engine,1
2019,Porsche,Cayenne,53053.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,69000.0,12.5,10.0,2.4,6.0,V-Engine,1
2017,Nissan,Rogue,196117.0,SUV,Automatic,4X4,brown,black,5,4,gasoline,4278.0,10.8,8.7,2.4,4.0,Inline,2
2023,Audi,Q5,90.0,SUV,Automatic,4X4,white,black,5,4,gasoline,61803.0,10.8,8.7,2.0,4.0,Inline,1
2023,Maserati,Levante,90.0,SUV,Automatic,4X4,black,black,5,2,gasoline,141222.0,14.7,10.7,3.0,6.0,Inline,1
2020,Honda,CR-V,66574.0,SUV,CVT,4X4,gray,black,5,4,gasoline,35900.0,8.7,7.2,2.4,4.0,Inline,2
2023,Cadillac,XT4,10.0,SUV,Automatic,4X4,black,black,5,4,gasoline,53690.0,10.9,8.2,2.4,4.0,Inline,1
2020,Cadillac,CT5,43646.0,Sedan,Automatic,4X4,metallic,black,5,4,gasoline,43088.0,10.7,7.5,2.4,4.0,Inline,1
2023,Jeep,Wrangler,8.0,SUV,Automatic,4X4,black,black,5,4,gasoline,72998.0,10.8,8.7,2.0,4.0,Inline,1
2023,Nissan,Frontier,90.0,Truck,Automatic,4X4,metallic,black,5,4,gasoline,54950.0,13.9,10.7,2.4,6.0,V-Engine,1
2020,Jeep,Grand,41070.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,37999.0,12.7,9.6,3.6,6.0,Inline,1
2016,Honda,Civic,221999.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,2381.8,7.8,5.8,2.0,4.0,Other,4
2003,Cadillac,Escalade,191000.0,Truck,Automatic,4X4,silver,gray,5,4,gasoline,8900.0,19.1,13.2,2.4,8.0,Inline,2
2023,Volvo,V60,50.0,Wagon,Automatic,4X4,white,gray,5,4,gasoline,71554.0,10.8,8.7,2.0,4.0,Inline,1
2020,Ford,Fusion,68216.0,Sedan,CVT,FWD,silver,black,5,4,hybrid,28500.0,5.5,5.7,2.0,4.0,Hybrid,1
2021,Mazda,CX-5,30463.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,36346.0,9.8,7.9,2.4,4.0,Inline,1
2021,Jeep,WRANGLER,35451.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,48497.0,12.65,10.0,2.0,4.0,Inline,2
2022,Ford,Expedition,74.0,SUV,Automatic,4X4,white,black,5,4,gasoline,96790.0,14.7,11.2,3.5,6.0,V-Engine,1
2016,Jeep,Cherokee,123640.0,SUV,Automatic,4X4,black,black,5,4,gasoline,21498.0,12.2,9.0,2.4,6.0,V-Engine,2
2023,Ford,Mustang,0.0,SUV,Automatic,4X4,black,black,5,4,gasoline,100690.0,10.8,8.7,2.4,4.0,Inline,1
2022,Ford,Mustang,10.0,Coupe,Manual,4X4,black,black,5,2,gasoline,61130.0,15.75,9.9,2.4,8.0,Inline,1
2023,Tesla,Model,2014.0,Sedan,Automatic,RWD,silver,black,5,4,electric,65000.0,0.0,8.7,2.4,0.0,Electric,1
2009,Maserati,GranTurismo,44000.0,Coupe,Automatic,RWD,gray,brown,4,2,gasoline,44888.0,19.6,12.4,2.4,8.0,V-Engine,1
2019,Audi,e-tron,54521.0,SUV,Automatic,4X4,black,black,5,4,electric,64300.0,0.0,8.7,0.0,0.0,Electric,1
2018,Honda,Pilot,140000.0,SUV,Automatic,4X4,black,beige,7,4,gasoline,20249.25,12.4,9.3,2.4,6.0,Inline,2
2008,BMW,M3,106183.0,Convertible,Manual,RWD,red,beige,4,2,gasoline,39900.0,15.7,10.1,2.4,8.0,Inline,1
2019,Nissan,Versa,48267.0,Hatchback,Automatic,FWD,white,black,5,4,gasoline,19490.0,8.1,6.4,2.4,4.0,Inline,1
2017,BMW,3,156738.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,9491.25,10.5,7.4,2.4,4.0,Inline,2
2021,Alfa Romeo,Romeo,10963.0,Sedan,Automatic,4X4,red,black,5,4,gasoline,57995.0,10.5,7.7,2.4,4.0,Inline,1
2023,Volvo,XC40,50.0,SUV,Automatic,4X4,white,gray,5,4,gasoline,60387.0,10.8,8.7,2.0,4.0,Inline,1
2014,Ford,Focus,120570.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,11888.0,10.8,8.7,2.4,4.0,Inline,2
2022,Jeep,Grand,0.0,SUV,Automatic,4X4,black,black,5,4,electric,81370.0,0.0,8.7,2.4,0.0,Electric,1
2023,Mercedes-Benz,GLA250,90.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,58315.0,10.3,7.3,2.4,4.0,Inline,1
2023,Kia,Forte,150.0,Sedan,Automatic,FWD,blue,black,4,4,gasoline,32645.0,10.8,8.7,2.4,4.0,Inline,1
2016,Dodge,Grand,115598.0,Van,Automatic,FWD,silver,black,7,4,gasoline,15986.5,13.7,9.4,3.6,4.0,Other,2
2019,Ford,Escape,19500.0,SUV,Automatic,FWD,black,black,5,4,gasoline,31388.0,11.2,8.4,1.5,4.0,Other,1
1969,Chevrolet,Camaro,0.0,SUV,Automatic,RWD,yellow,black,5,2,gasoline,57980.0,10.8,8.7,2.4,4.0,Inline,4
2014,Cadillac,ATS,174000.0,Sedan,Automatic,4X4,silver,black,5,4,gasoline,10150.0,10.8,8.7,2.4,4.0,Inline,2
2018,BMW,X2,46989.0,SUV,Automatic,4X4,black,black,5,4,gasoline,35199.0,11.0,7.7,2.0,4.0,Inline,2
2023,Chevrolet,Silverado,10.0,Truck,Automatic,4X4,black,black,5,4,gasoline,72898.0,14.8,11.8,5.3,8.0,Inline,1
2019,Dodge,Durango,75581.0,SUV,Automatic,4X4,gray,black,7,4,gasoline,37965.0,12.7,9.6,3.6,6.0,V-Engine,1
2023,GMC,Acadia,9.0,SUV,Automatic,4X4,white,black,5,2,gasoline,58178.0,12.6,9.2,3.6,6.0,Inline,1
2020,Infiniti,QX60,40482.0,SUV,Automatic,4X4,white,black,5,4,gasoline,37979.0,12.5,9.0,2.4,6.0,V-Engine,1
2019,Honda,CR-V,88859.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,29990.0,8.7,7.2,2.4,4.0,Inline,2
2018,Volkswagen,Tiguan,138738.0,SUV,Automatic,FWD,black,black,5,4,gasoline,13782.35,10.6,8.7,2.4,4.0,Inline,3
2016,Audi,A6,107463.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,24480.0,10.8,7.3,2.0,4.0,Other,2
2016,Hyundai,Tucson,100200.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,19995.0,11.0,9.0,2.4,4.0,Inline,1
2019,Porsche,Cayenne,51500.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,81900.0,10.8,8.7,2.4,4.0,Inline,1
2012,Mitsubishi,RVR,198000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,4809.0,8.6,6.6,2.4,4.0,Inline,2
2023,Mazda,Mazda3,100.0,Hatchback,Automatic,FWD,blue,black,5,4,gasoline,28700.0,8.649999999999999,6.65,2.0,4.0,Inline,1
2006,Honda,Accord,336788.0,Sedan,Automatic,FWD,black,black,5,4,hybrid,500.0,10.8,8.7,2.4,4.0,Inline,3
2013,Dodge,Caravan,255715.0,Van,Automatic,4X4,white,black,5,4,gasoline,500.0,10.8,8.7,2.4,4.0,Inline,4
2018,BMW,4,65170.0,Sedan,Automatic,4X4,orange,black,5,4,gasoline,34388.0,10.5,7.4,2.0,4.0,Other,1
2020,Ford,Escape,42107.0,SUV,Automatic,4X4,black,black,5,4,gasoline,25995.0,8.9,7.6,2.4,3.0,Inline,1
2015,Mazda,Mazda3,91531.0,Sedan,Automatic,FWD,gray,black,4,4,gasoline,15900.0,7.95,5.75,2.4,4.0,Inline,2
2023,Ford,F-150,20.0,Truck,Automatic,4X4,blue,blue,5,4,hybrid,103715.0,9.8,9.7,3.5,4.0,Hybrid,1
2022,Ford,Escape,11535.0,SUV,Automatic,4X4,black,gray,5,4,gasoline,34988.0,9.0,7.6,2.4,3.0,Inline,1
2022,Ford,F-150,15.0,Truck,Automatic,4X4,black,black,5,4,gasoline,82124.0,13.5,10.2,3.5,6.0,V-Engine,1
1992,Jaguar,XJ6,140000.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,580.0,10.8,8.7,2.4,4.0,Inline,4
2023,Ford,Bronco,57.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,45394.0,9.3,8.4,1.5,4.0,Other,1
2021,Kia,Forte5,58462.0,Hatchback,Automatic,FWD,orange,black,5,4,gasoline,24295.0,9.4,7.25,1.6,4.0,Inline,2
2022,Lamborghini,Urus,4242.0,SUV,Automatic,4X4,black,black,5,4,gasoline,419998.0,10.8,8.7,2.4,8.0,Inline,1
2018,Mercedes-Benz,GLE-Class,88956.0,SUV,Automatic,4X4,white,black,5,4,gasoline,39300.0,13.5,10.3,2.4,6.0,Inline,1
2019,Mercedes-Benz,G-Class,86872.0,SUV,Automatic,4X4,black,black,5,4,gasoline,198800.0,18.1,15.6,2.4,8.0,Inline,2
2021,Jeep,Wrangler,30231.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,58875.0,12.65,10.0,2.0,4.0,Inline,1
2016,BMW,X3,119988.0,SUV,Automatic,4X4,white,brown,5,4,diesel,24987.0,8.6,6.9,2.0,4.0,Inline,1
2018,Infiniti,Q60,22998.0,Coupe,Automatic,4X4,white,black,4,2,gasoline,39588.0,12.3,8.6,2.4,6.0,V-Engine,1
2016,BMW,3,185298.0,Wagon,Automatic,4X4,white,black,5,4,diesel,12454.888,7.7,5.7,2.4,4.0,Inline,3
2020,Audi,RS,32500.0,SUV,Automatic,4X4,black,black,5,4,hybrid,145000.0,10.8,8.7,2.4,8.0,Inline,1
2022,Honda,Accord,4403.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,44880.0,10.4,7.4,2.4,4.0,Inline,1
2017,Hyundai,Sonata,77811.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,22848.0,10.0,7.2,2.4,4.0,Inline,1
